Quel roi se figurait être le soleil sur Terre?,Louis XIV,Henri III,Georges V,Louis XVI 
En quelle année s'est déroulé le Printemps des Peuples ?,1848,1852,1832,1870
En quelle année a été construit le mur de Berlin ?,1961,1962,1948,1966 
En quelle année a été construite la tour Eiffel ?,1889,1900,1907,1885
Quels sont les auteurs du Manifeste du parti communiste ?,Karl Marx et Friedrich Engels,Karl Marx et Georg Hegel,Karl Marx et Emmanuel Kant,Goscinny et Uderzo
Combien de temps Louis XIX a-t-il regné ?,20 minutes,3 heures,48 heures,5 jours
Quel.le chef.fe fut à la tête de l'empire le plus grand de l'Histoire (33 millions de km carrés) ?,Kubilaï Khan,Gengis Khan,Victoria,Elizabeth II
Quand le Titanic a-t-il sombré ?,14 avril 1912,14 juillet 1911,27 avril 1910,27 juillet 1913
Quand la guerre de Sécession a-t-elle eu lieu ?,1861-1865,1827-1831,1779-1885,1811-1813
Quel est le premier livre a avoir été imprimé ?,La Bible,L'encyclopédie,La biographie de Louis XIV,Les Misérables
